Species	Acosub	Aeglho	Bacdra	Banagy	Banmeg	Bauruf	Bowvir	Byrcoc	Byrint	Carbra	Cassyl	Consub	Dalmis	Dimmol	Diohis	Erigra	Erysub	Erytor	Eugpun	Gocpul	Memper	Micalb	Miclig	Micrub	Myrbel	Myrlin	Ocopul	Ouracu	Ourspe	Pergla	Piprot	Quagra	Rapfer	Rapumb	Roumon	Schmac	Schvin	Strads	Strobo	Styfer	Tibste	Tocfor	Virseb	Xylaro	Zanrho
ALB-NOVA	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	3	0	0	0	0	0	6	0	1	0	0	0	0	0	0
ALB01	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	1	1	0	0	0	0	0	0	0	0	4	0	1	0	1	0	2	0	0
ALB02	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	1	0	1	0	2	0	0	0	4	0	0	0	0	0	0	2	0
ALB03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	2	0	1	1	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
ALB04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	1	1	0	0	0	0	0
ALB05	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0
ALB06	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	1	3	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0
ALB07	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	6	0	0	0	0	0	0	0	4	1	0	0	0	0	4	0	2	0	0	0	0	0	0
ALB09	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	1	0
ALB10	6	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	6	1	0	1	2	1	0	0	0	0	0	0	0	0	1	11	1	0	0	2	0	0	0	0
ALB11	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	5	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ALB12	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	3	0	0	0	0
ALB13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	5	0	0	2	2	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0
ALB14	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0
