Plot	Nind	S	Schvin	Micalb	Micleg	Piprot	Strobo	BAtot	Shannon	Hmean	Neuc_tot	Aeuc_tot	Cgram	Cmelinis
ALB-NOVA	15	7	6	1	0	3	1	272.238	1.679	2.4206666667	1	0	17.5	17.5
ALB01	16	10	4	3	1	0	1	167.10295	2.133	2.535	5	242.22745	5	5
ALB02	19	9	4	0	4	1	0	171.7266	2.018	2.5894736842	2	77.0713	0	0
ALB03	24	6	11	5	2	0	0	223.7878	1.339	1.9804166667	1	48.72495	31	30
ALB04	14	7	6	2	2	0	1	368.29845	1.673	3.1507142857	1	28.45625	25	25
ALB05	16	8	3	5	1	0	3	165.17185	1.858	2.460625	4	348.7441	30	30
ALB06	25	8	7	7	3	2	0	966.67255	1.81	3.0316	1	161.93765	3	3
ALB07	30	8	4	5	6	4	2	358.9334	1.875	2.488	1	8.54865	80	80
ALB09	17	8	3	6	2	1	1	176.2325	1.808	2.8105882353	9	169.78765	10	10
ALB10	39	13	11	6	1	0	0	326.9682	2.108	2.6725641026	3	24.1152	20	20
ALB11	12	7	2	5	1	0	0	110.2925	1.699	2.7283333333	8	1338.51135	0	0
ALB12	25	7	5	12	1	1	0	189.50685	1.517	2.7816	6	561.48695	70	70
ALB13	18	9	2	5	0	2	1	579.52625	2.034	2.2016666667	1	6.8452	70	70
ALB14	17	5	3	10	0	0	0	122.21665	1.203	2.2847058824	5	328.3812	70	70
ALB20	19	7	3	5	1	0	1	248.08355	1.631	2.3515789474	4	306.7937	0	0
ALB21	25	9	10	3	1	5	1	367.1759	1.789	2.6276	0	0	100	100
ALB24	5	4	2	1	0	0	0	100.5428	1.332	2.55	5	204.1157	82.5	82.5
ALB26	6	2	4	0	0	0	1	219.6116	0.5004	3.3	0	0	100	100
ALB28	9	4	3	4	1	0	0	128.82635	1.215	2.7566666667	26	1202.62	55	0
ALB33	25	6	6	8	1	6	1	294.2965	1.477	2.6484	3	380.1441	20	20
ALB35	7	4	4	1	0	0	1	136.6528	1.154	2.8214285714	2	22.1527	31.25	31.25
ALB37	6	2	5	0	0	0	0	137.9355685	0.4506	3.5116666667	4	40.9927	65	65
ALB38	12	6	2	3	2	0	1	147.3602	1.705	2.8691666667	8	1354.3134	90	90
ALB40	16	4	5	8	1	0	0	123.716	1.063	2.686875	4	575.78965	12	12
ALB42	8	5	2	2	1	0	1	72.16505	1.55	2.68125	8	910.2232	15	15
ALB43	29	12	4	6	1	0	4	361.1408985	2.213	2.5451724138	0	0	80	80
ALB44	17	8	2	1	0	0	5	379.22565	1.89	2.9611764706	1	169.9054	80	80
ALB46	31	7	12	11	0	2	0	439.5215	1.382	2.604516129	0	0	97	97
ALB47	18	7	8	2	0	1	1	255.5034485	1.56	2.6794444444	0	0	85	85
ALB49	16	7	7	2	1	0	1	247.87945	1.567	2.6875	6	308.7405	2	2
