Medidor	Planta	Folha	AE	AD	FAtot	FArel	FAtot_abs	FArel_abs	Atot
Andreza	11	1	28.001	28.069	0.068	0.0012127698	0.068	0.0012127698	56.07
Andreza	11	9	12.334	12.504	0.17	0.0068443514	0.17	0.0068443514	24.838
Andreza	11	11	15.841	15.512	-0.329	-0.0104934137	0.329	0.0104934137	31.353
Andreza	11	5	15.711	15.125	-0.586	-0.0190037618	0.586	0.0190037618	30.836
Andreza	11	3	19.681	20.468	0.787	0.0196019826	0.787	0.0196019826	40.149
Andreza	11	2	13.545	12.741	-0.804	-0.0305866241	0.804	0.0305866241	26.286
Andreza	11	15	13.728	14.674	0.946	0.0333075136	0.946	0.0333075136	28.402
Andreza	11	10	13.061	11.971	-1.09	-0.0435442633	1.09	0.0435442633	25.032
Andreza	11	14	32.297	31.091	-1.206	-0.0190256831	1.206	0.0190256831	63.388
Andreza	11	7	14.918	13.652	-1.266	-0.0443122156	1.266	0.0443122156	28.57
Andreza	11	4	14.677	13.293	-1.384	-0.0494815874	1.384	0.0494815874	27.97
Andreza	11	12	15.329	13.803	-1.526	-0.0523822601	1.526	0.0523822601	29.132
Andreza	11	13	18.62	21.226	2.606	0.0654017969	2.606	0.0654017969	39.846
Andreza	11	8	22.059	18.911	-3.148	-0.0768367098	3.148	0.0768367098	40.97
Andreza	11	6	22.822	17.543	-5.279	-0.1307816177	5.279	0.1307816177	40.365
Andreza	12	1	21.982	22.301	0.319	0.0072036673	0.319	0.0072036673	44.283
Andreza	12	12	9.204	8.739	-0.465	-0.0259153988	0.465	0.0259153988	17.943
Andreza	12	6	6.075	6.61	0.535	0.0421757982	0.535	0.0421757982	12.685
Andreza	12	11	13.587	14.255	0.668	0.0239925293	0.668	0.0239925293	27.842
Andreza	12	8	9.927	9.209	-0.718	-0.037520903	0.718	0.037520903	19.136
Andreza	12	2	12.363	13.254	0.891	0.0347815904	0.891	0.0347815904	25.617
Andreza	12	13	13.865	14.848	0.983	0.0342353638	0.983	0.0342353638	28.713
Andreza	12	7	8.183	9.412	1.229	0.069849389	1.229	0.069849389	17.595
Andreza	12	14	13.585	12.318	-1.267	-0.0489132533	1.267	0.0489132533	25.903
Andreza	12	4	27.85	26.39	-1.46	-0.0269174041	1.46	0.0269174041	54.24
Andreza	12	10	15.108	13.631	-1.477	-0.0513935767	1.477	0.0513935767	28.739
Andreza	12	15	15.84	17.358	1.518	0.0457256461	1.518	0.0457256461	33.198
Andreza	12	3	21.636	19.601	-2.035	-0.0493488857	2.035	0.0493488857	41.237
Andreza	12	9	16.419	14.019	-2.4	-0.0788488074	2.4	0.0788488074	30.438
Andreza	12	5	13.772	10.419	-3.353	-0.1386052664	3.353	0.1386052664	24.191
Andreza	13	11	12.466	12.495	0.029	0.0011618124	0.029	0.0011618124	24.961
Andreza	13	12	23.169	22.989	-0.18	-0.003899649	0.18	0.003899649	46.158
Andreza	13	15	14.167	13.924	-0.243	-0.0086504574	0.243	0.0086504574	28.091
Andreza	13	7	12.3	11.684	-0.616	-0.0256837892	0.616	0.0256837892	23.984
Andreza	13	10	11.881	11.263	-0.618	-0.0267023851	0.618	0.0267023851	23.144
Andreza	13	8	20.505	19.586	-0.919	-0.0229228505	0.919	0.0229228505	40.091
Andreza	13	14	6.57	7.67	1.1	0.077247191	1.1	0.077247191	14.24
Andreza	13	9	17.416	19.058	1.642	0.0450183692	1.642	0.0450183692	36.474
Andreza	13	1	9.351	11.695	2.344	0.1113750832	2.344	0.1113750832	21.046
Andreza	13	13	6.614	9.445	2.831	0.1762874401	2.831	0.1762874401	16.059
Andreza	13	3	17.913	15.071	-2.842	-0.0861629881	2.842	0.0861629881	32.984
Andreza	13	6	16.38	13.261	-3.119	-0.1052258696	3.119	0.1052258696	29.641
Andreza	13	4	19.888	16.763	-3.125	-0.0852637036	3.125	0.0852637036	36.651
Andreza	13	5	6.606	10.76	4.154	0.2392030404	4.154	0.2392030404	17.366
Andreza	13	2	21.57	15.803	-5.767	-0.1543092607	5.767	0.1543092607	37.373
Andreza	14	2	13.238	13.252	0.014	0.0005285013	0.014	0.0005285013	26.49
Andreza	14	4	8.422	8.271	-0.151	-0.0090457078	0.151	0.0090457078	16.693
Andreza	14	1	7.895	8.048	0.153	0.0095966882	0.153	0.0095966882	15.943
Andreza	14	5	5.191	4.994	-0.197	-0.0193421699	0.197	0.0193421699	10.185
Andreza	14	12	12.503	12.226	-0.277	-0.0112014234	0.277	0.0112014234	24.729
Andreza	14	11	16.401	16.022	-0.379	-0.011689233	0.379	0.011689233	32.423
Andreza	14	15	10.181	9.573	-0.608	-0.0307785765	0.608	0.0307785765	19.754
Andreza	14	6	7.796	7.034	-0.762	-0.0513823331	0.762	0.0513823331	14.83
Andreza	14	14	13.903	14.975	1.072	0.0371216843	1.072	0.0371216843	28.878
Andreza	14	8	18.342	19.569	1.227	0.0323652766	1.227	0.0323652766	37.911
Andreza	14	9	29.627	31.115	1.488	0.0244970531	1.488	0.0244970531	60.742
Andreza	14	3	21.342	19.264	-2.078	-0.0511747032	2.078	0.0511747032	40.606
Andreza	14	10	20.352	22.599	2.247	0.0523154292	2.247	0.0523154292	42.951
Andreza	14	13	28.582	25.757	-2.825	-0.0519884429	2.825	0.0519884429	54.339
Andreza	14	7	20.735	17.848	-2.887	-0.0748257004	2.887	0.0748257004	38.583
Andreza	15	15	20.943	21.006	0.063	0.0015018236	0.063	0.0015018236	41.949
Andreza	15	8	6.185	6.419	0.234	0.0185655348	0.234	0.0185655348	12.604
