Medidor	Ind	AFtot_abs	AFrel_abs	Dens	ABtotal	ABmedia	Hmax	Hmedia
Andreza	11	1.413	0.0401877701	5	38.1711361393	7.6342272279	279	212.6
Andreza	12	1.2878666667	0.0476951653	3	17.9353524593	5.9784508198	253	196
Andreza	13	1.9686	0.077940926	2	2.5567066413	1.2783533207	109	99
Andreza	14	1.091	0.0311901949	5	12.6545708281	2.5309141656	169	138.2
Andreza	15	0.7208666667	0.0427194454	5	15.695553977	3.1391107954	177	137.6
Andreza	16	0.8363333333	0.0352631057	4	6.6443899225	1.6610974806	147	132.75
Andreza	17	2.1463333333	0.053187413	6	20.7231232403	3.4538538734	210	164
Andreza	18	1.12525	0.0660240247	2	3.4020306846	1.7010153423	144	141.5
Andreza	19	1.6309333333	0.0589140124	12	45.12418754	3.7603489617	295	181.135
Andreza	20	3.5763333333	0.0729968665	1	1.6512996385	1.6512996385	133	133
Andreza	21	2.849	0.0703881287	4	112.9347581094	28.2336895274	382	225
Andreza	22	2.217	0.0447393381	7	34.5844583465	4.9406369066	272	216.4285714286
Andreza	23	2.3912666667	0.0598917651	1	43.1247208956	43.1247208956	300	300
Andreza	24	0.8122	0.0547758844	1	1.5393804003	1.5393804003	127	127
Andreza	25	1.5763333333	0.0370738884	4	17.211529512	4.302882378	234	201.5
Andreza	26	1.3424	0.0375638747	1	3.1415926536	3.1415926536	224	224
Andreza	27	1.5304	0.0390148889	2	10.5321893712	5.2660946856	264	214
Andreza	28	2.3806	0.0578694714	3	15.4416347507	5.1472115836	231	213.3333333333
Andreza	29	1.5826	0.0424449256	5	10.6335057342	2.1267011468	240	196.4
Andreza	30	1.4078666667	0.0499714306	1	3.1730871199	3.1730871199	234	234
Andreza	31	1.4215333333	0.039284859	2	64.7995110906	32.3997555453	387	306
Andreza	32	1.2287142857	0.0405228115	6	95.3038259782	15.8839709964	492	359.8333333333
Andreza	33	1.7115	0.0542643926	5	160.8952540369	32.1790508074	462	436.6
Andreza	34	1.9678	0.0381757168	1	12.1303960939	12.1303960939	247	247
Andreza	35	2.0533333333	0.0384889243	7	38.2608286095	5.4658326585	270	211.5714285714
