Transect	Distance	Layer	StrS	StrD
Ecotone1	1	Ground	4	3
Ecotone1	2	Ground	6	3.66666666666667
Ecotone1	3	Ground	4	3
Ecotone1	4	Ground	5	3.66666666666667
Ecotone1	5	Ground	6	4.33333333333333
Ecotone1	6	Ground	7	4.27777777777778
Ecotone1	7	Ground	9	4.66666666666667
Ecotone1	8	Ground	9	4.66666666666667
Ecotone1	9	Ground	9	5.27777777777778
Ecotone1	10	Ground	10	5.66666666666667
Ecotone1	11	Ground	6	4
Ecotone1	12	Ground	5	3
Ecotone1	13	Ground	7	4.66666666666667
Ecotone1	14	Ground	8	4.94444444444444
Ecotone1	15	Ground	8	4.66666666666667
Ecotone1	16	Ground	8	4
Ecotone1	17	Ground	9	5.33333333333333
Ecotone1	18	Ground	9	4.33333333333333
Ecotone1	19	Ground	9	4.66666666666667
Ecotone1	20	Ground	11	5.94444444444444
Ecotone1	21	Ground	8	4.94444444444444
Ecotone1	22	Ground	9	5.33333333333333
Ecotone1	23	Ground	9	5.33333333333333
Ecotone1	24	Ground	7	4.27777777777778
Ecotone1	25	Ground	6	4.33333333333333
Ecotone1	26	Ground	7	4.66666666666667
Ecotone1	27	Ground	4	3.33333333333333
Ecotone1	28	Ground	4	3.33333333333333
Ecotone1	29	Ground	5	3.5
Ecotone1	30	Ground	5	3.66666666666667
Ecotone1	31	Ground	6	4.33333333333333
Ecotone1	32	Ground	5	4
Ecotone1	33	Ground	6	4.18333333333333
Ecotone1	34	Ground	6	4.33333333333333
Ecotone1	35	Ground	8	4.52777777777778
Ecotone1	36	Ground	6	4.33333333333333
Ecotone1	37	Ground	5	3.66666666666667
Ecotone1	38	Ground	6	3.94444444444444
Ecotone1	39	Ground	6	3.94444444444444
Ecotone1	40	Ground	5	3.66666666666667
Ecotone1	41	Ground	4	2.66666666666667
Ecotone1	42	Ground	4	2.33333333333333
Ecotone1	43	Ground	4	3.33333333333333
Ecotone1	44	Ground	4	3
Ecotone1	45	Ground	4	3
Ecotone1	46	Ground	4	3.33333333333333
Ecotone1	47	Ground	3	2.66666666666667
Ecotone1	48	Ground	4	2.66666666666667
Ecotone1	49	Ground	5	3
Ecotone1	50	Ground	3	2
Ecotone1	51	Ground	2	1.33333333333333
Ecotone1	52	Ground	3	1.66666666666667
Ecotone1	53	Ground	4	2.33333333333333
Ecotone1	54	Ground	4	2.33333333333333
Ecotone1	55	Ground	4	3
Ecotone1	56	Ground	4	3.33333333333333
Ecotone1	57	Ground	5	3.88888888888889
Ecotone1	58	Ground	5	3.88888888888889
Ecotone1	59	Ground	5	3.66666666666667
Ecotone1	60	Ground	4	3.33333333333333
Ecotone1	61	Ground	4	3.33333333333333
Ecotone1	62	Ground	4	3
Ecotone1	63	Ground	6	4.33333333333333
Ecotone1	64	Ground	6	3.94444444444444
Ecotone1	65	Ground	6	3.94444444444444
Ecotone1	66	Ground	7	4.61111111111111
Ecotone1	67	Ground	6	3.94444444444444
Ecotone1	68	Ground	6	3.66666666666667
Ecotone1	69	Ground	7	4.33333333333333
Ecotone1	70	Ground	9	5
Ecotone1	71	Ground	9	5.33333333333333
Ecotone1	72	Ground	9	4.94444444444444
Ecotone1	73	Ground	8	4
Ecotone1	74	Ground	10	5.33333333333333
Ecotone1	75	Ground	8	4.66666666666667
Ecotone1	76	Ground	8	4.33333333333333
Ecotone1	77	Ground	9	4.66666666666667
Ecotone1	78	Ground	9	5.27777777777778
Ecotone1	79	Ground	8	4.33333333333333
Ecotone1	80	Ground	9	5.33333333333333
Ecotone1	81	Ground	9	5.33333333333333
Ecotone1	82	Ground	9	4.66666666666667
Ecotone1	83	Ground	11	5.33333333333333
Ecotone1	84	Ground	8	4
Ecotone1	85	Ground	10	4.66666666666667
Ecotone1	86	Ground	11	5
Ecotone1	87	Ground	11	5
Ecotone1	88	Ground	11	5.61111111111111
Ecotone1	89	Ground	10	4.66666666666667
Ecotone1	90	Ground	8	4
Ecotone1	91	Ground	10	5
Ecotone1	92	Ground	8	5
Ecotone1	93	Ground	9	5.33333333333333
Ecotone1	94	Ground	10	4.66666666666667
Ecotone1	95	Ground	10	5
Ecotone1	96	Ground	9	5
Ecotone1	97	Ground	9	5
Ecotone1	98	Ground	9	5
Ecotone1	99	Ground	10	5.33333333333333
Ecotone1	100	Ground	9	5
Ecotone1	101	Ground	6	4
Ecotone1	102	Ground	10	5.66666666666667
Ecotone1	103	Ground	9	5.33333333333333
Ecotone1	104	Ground	5	4
Ecotone1	105	Ground	10	5.66666666666667
Ecotone1	106	Ground	7	4.33333333333333
Ecotone1	107	Ground	9	5.33333333333333
Ecotone1	108	Ground	8	4.33333333333333
Ecotone1	109	Ground	9	4.33333333333333
Ecotone1	110	Ground	9	4.33333333333333
Ecotone1	111	Ground	9	5
Ecotone1	112	Ground	8	4.66666666666667
Ecotone1	113	Ground	9	5
Ecotone1	114	Ground	7	4.33333333333333
Ecotone1	115	Ground	7	4.33333333333333
Ecotone1	116	Ground	7	4.66666666666667
Ecotone1	117	Ground	6	4
Ecotone1	118	Ground	8	4.66666666666667
Ecotone1	119	Ground	8	4.33333333333333
Ecotone1	120	Ground	7	4.66666666666667
Ecotone1	121	Ground	10	5.27777777777778
Ecotone1	122	Ground	8	4.66666666666667
Ecotone1	123	Ground	8	4
Ecotone1	124	Ground	7	3.66666666666667
Ecotone1	125	Ground	8	5
Ecotone1	126	Ground	8	5
Ecotone1	127	Ground	6	4
Ecotone1	128	Ground	5	3
Ecotone1	129	Ground	5	3
Ecotone1	130	Ground	5	3
Ecotone1	131	Ground	5	3.66666666666667
Ecotone1	132	Ground	5	3.66666666666667
Ecotone1	133	Ground	5	3.66666666666667
Ecotone1	134	Ground	8	4.66666666666667
Ecotone1	135	Ground	9	5
Ecotone1	136	Ground	5	3
Ecotone1	137	Ground	6	3.66666666666667
Ecotone1	138	Ground	8	4.66666666666667
Ecotone1	139	Ground	7	4.33333333333333
Ecotone1	140	Ground	5	3.66666666666667
Ecotone1	141	Ground	8	4.66666666666667
Ecotone1	142	Ground	8	4.66666666666667
Ecotone1	143	Ground	10	5.27777777777778
Ecotone1	144	Ground	9	5
Ecotone1	145	Ground	6	4
Ecotone1	146	Ground	5	4
Ecotone1	147	Ground	10	5.66666666666667
Ecotone1	148	Ground	10	5
Ecotone1	149	Ground	10	4.66666666666667
Ecotone1	150	Ground	9	4.33333333333333
Ecotone1	151	Ground	9	5
Ecotone1	152	Ground	11	5
Ecotone1	153	Ground	11	5
Ecotone1	154	Ground	10	4.66666666666667
Ecotone1	155	Ground	11	5
Ecotone1	156	Ground	10	5
Ecotone1	157	Ground	9	5.33333333333333
Ecotone1	158	Ground	10	5.33333333333333
Ecotone1	159	Ground	6	4
Ecotone1	160	Ground	10	5.66666666666667
Ecotone1	161	Ground	9	4.66666666666667
Ecotone1	162	Ground	7	4.27777777777778
Ecotone1	163	Ground	6	4
Ecotone1	164	Ground	10	5
Ecotone1	165	Ground	8	4.61111111111111
Ecotone1	166	Ground	6	4.33333333333333
Ecotone1	167	Ground	5	3.66666666666667
Ecotone1	168	Ground	5	3.66666666666667
Ecotone1	169	Ground	5	3.66666666666667
Ecotone1	170	Ground	8	4.94444444444444
Ecotone1	171	Ground	5	3.66666666666667
Ecotone1	172	Ground	7	4.61111111111111
Ecotone1	173	Ground	4	3
Ecotone1	174	Ground	5	3.66666666666667
Ecotone1	175	Ground	3	2
Ecotone1	176	Ground	5	3.66666666666667
Ecotone1	177	Ground	5	3
Ecotone1	178	Ground	2	1.33333333333333
Ecotone1	179	Ground	5	3.66666666666667
Ecotone1	180	Ground	5	3.66666666666667
Ecotone1	181	Ground	5	3.66666666666667
Ecotone1	182	Ground	5	3.66666666666667
Ecotone1	183	Ground	6	4.33333333333333
Ecotone1	184	Ground	7	4.66666666666667
Ecotone1	185	Ground	7	3.66666666666667
Ecotone1	186	Ground	8	4.66666666666667
Ecotone1	187	Ground	8	4.94444444444444
Ecotone1	188	Ground	7	4.27777777777778
Ecotone1	189	Ground	6	4
Ecotone1	190	Ground	5	3.66666666666667
Ecotone1	191	Ground	5	3.66666666666667
Ecotone1	192	Ground	7	4.66666666666667
Ecotone1	193	Ground	6	4
Ecotone1	194	Ground	9	5.33333333333333
Ecotone1	195	Ground	8	4.33333333333333
Ecotone1	196	Ground	4	2.33333333333333
Ecotone1	197	Ground	3	1
Ecotone1	198	Ground	2	0.666666666666667
Ecotone1	199	Ground	3	1
Ecotone1	200	Ground	4	2
Ecotone1	201	Ground	3	1
Ecotone1	202	Ground	6	3.33333333333333
Ecotone1	203	Ground	9	4.66666666666667
Ecotone1	204	Ground	7	4
Ecotone1	205	Ground	5	3.66666666666667
Ecotone1	206	Ground	6	4.33333333333333
Ecotone1	207	Ground	5	3.33333333333333
Ecotone1	208	Ground	4	2.33333333333333
Ecotone1	209	Ground	4	3
Ecotone1	210	Ground	5	3.66666666666667
Ecotone1	211	Ground	6	4
Ecotone1	212	Ground	7	4.27777777777778
Ecotone1	213	Ground	5	3.66666666666667
Ecotone1	214	Ground	5	3.66666666666667
Ecotone1	215	Ground	6	4
Ecotone1	216	Ground	6	4
Ecotone1	217	Ground	6	4
Ecotone1	218	Ground	5	3.66666666666667
Ecotone1	219	Ground	5	3.66666666666667
Ecotone1	220	Ground	5	3.66666666666667
Ecotone1	221	Ground	5	3.66666666666667
Ecotone1	222	Ground	6	4.33333333333333
Ecotone1	223	Ground	4	3
Ecotone1	224	Ground	2	1.33333333333333
Ecotone1	225	Ground	2	1.33333333333333
Ecotone2	1	Ground	4	3.33333333333333
Ecotone2	2	Ground	6	3.94444444444444
Ecotone2	3	Ground	7	4.27777777777778
Ecotone2	4	Ground	6	4
Ecotone2	5	Ground	7	4.66666666666667
Ecotone2	6	Ground	8	4.66666666666667
Ecotone2	7	Ground	7	4.61111111111111
Ecotone2	8	Ground	8	4.61111111111111
Ecotone2	9	Ground	9	5.27777777777778
Ecotone2	10	Ground	7	4.38888888888889
Ecotone2	11	Ground	7	4.27777777777778
Ecotone2	12	Ground	5	3.66666666666667
Ecotone2	13	Ground	5	3.66666666666667
Ecotone2	14	Ground	6	4.33333333333333
Ecotone2	15	Ground	7	4.66666666666667
Ecotone2	16	Ground	5	4
Ecotone2	17	Ground	8	4.33333333333333
Ecotone2	18	Ground	8	5
Ecotone2	19	Ground	8	5
Ecotone2	20	Ground	6	4.33333333333333
Ecotone2	21	Ground	9	5.27777777777778
Ecotone2	22	Ground	9	4.77777777777778
Ecotone2	23	Ground	9	5.27777777777778
Ecotone2	24	Ground	9	5.27777777777778
Ecotone2	25	Ground	7	4.66666666666667
Ecotone2	26	Ground	4	3.33333333333333
Ecotone2	27	Ground	2	2
Ecotone2	28	Ground	2	2
Ecotone2	29	Ground	2	1.33333333333333
Ecotone2	30	Ground	2	1.33333333333333
Ecotone2	31	Ground	1	0
Ecotone2	32	Ground	2	2
Ecotone2	33	Ground	2	2
Ecotone2	34	Ground	2	2
Ecotone2	35	Ground	2	2
Ecotone2	36	Ground	2	2
Ecotone2	37	Ground	2	2
Ecotone2	38	Ground	4	2.33333333333333
Ecotone2	39	Ground	7	4.66666666666667
Ecotone2	40	Ground	5	3.66666666666667
Ecotone2	41	Ground	6	4.33333333333333
Ecotone2	42	Ground	7	4.61111111111111
Ecotone2	43	Ground	6	3.94444444444444
Ecotone2	44	Ground	6	3.94444444444444
Ecotone2	45	Ground	6	3.94444444444444
Ecotone2	46	Ground	6	3.94444444444444
Ecotone2	47	Ground	6	4
Ecotone2	48	Ground	7	4.61111111111111
Ecotone2	49	Ground	7	3.86111111111111
Ecotone2	50	Ground	7	3.75
Ecotone2	51	Ground	8	4.94444444444444
Ecotone2	52	Ground	7	4.33333333333333
Ecotone2	53	Ground	7	4.61111111111111
Ecotone2	54	Ground	4	2.33333333333333
Ecotone2	55	Ground	6	3.94444444444444
Ecotone2	56	Ground	7	4.61111111111111
Ecotone2	57	Ground	6	3.94444444444444
Ecotone2	58	Ground	6	3.94444444444444
Ecotone2	59	Ground	6	3.94444444444444
Ecotone2	60	Ground	5	3.61111111111111
Ecotone2	61	Ground	7	4.61111111111111
Ecotone2	62	Ground	6	3.94444444444444
Ecotone2	63	Ground	6	3.94444444444444
Ecotone2	64	Ground	6	3.94444444444444
Ecotone2	65	Ground	6	3.94444444444444
Ecotone2	66	Ground	6	3.94444444444444
Ecotone2	67	Ground	6	3.94444444444444
Ecotone2	68	Ground	6	4.27777777777778
Ecotone2	69	Ground	6	3.94444444444444
Ecotone2	70	Ground	6	3.94444444444444
Ecotone2	71	Ground	6	3.94444444444444
Ecotone2	72	Ground	6	3.94444444444444
Ecotone2	73	Ground	7	4.27777777777778
Ecotone2	74	Ground	6	3.94444444444444
Ecotone2	75	Ground	7	4.27777777777778
Ecotone2	76	Ground	6	3.66666666666667
Ecotone2	77	Ground	6	3.94444444444444
Ecotone2	78	Ground	6	3.66666666666667
Ecotone2	79	Ground	5	3.66666666666667
Ecotone2	80	Ground	4	2.66666666666667
Ecotone2	81	Ground	10	5.33333333333333
Ecotone2	82	Ground	7	4.33333333333333
Ecotone2	83	Ground	6	3.94444444444444
Ecotone2	84	Ground	6	3.66666666666667
Ecotone2	85	Ground	6	3.94444444444444
Ecotone2	86	Ground	8	4.61111111111111
Ecotone2	87	Ground	6	3.94444444444444
Ecotone2	88	Ground	8	4.94444444444444
Ecotone2	89	Ground	6	3.94444444444444
Ecotone2	90	Ground	6	3.94444444444444
Ecotone2	91	Ground	7	4.61111111111111
Ecotone2	92	Ground	3	2
Ecotone2	93	Ground	6	3.66666666666667
Ecotone2	94	Ground	6	3.94444444444444
Ecotone2	95	Ground	6	3.94444444444444
Ecotone2	96	Ground	6	3.94444444444444
Ecotone2	97	Ground	6	3.94444444444444
Ecotone2	98	Ground	7	4.61111111111111
Ecotone2	99	Ground	6	4.33333333333333
Ecotone2	100	Ground	7	4.33333333333333
Ecotone2	101	Ground	7	4.33333333333333
