Element_detail	Count_type	Plant	Layer	Element	Standing	Live	Woody
Deadwood_log	number	plant	woody	tree	no	no	yes
Deadwood_shrub	number	plant	woody	shrub	yes	no	yes
Deadwood_snag	number	plant	woody	tree	yes	no	yes
Ground_gravel	cover	soil	ground	gravel	NA	NA	NA
Ground_rock	cover	soil	ground	rock	NA	NA	NA
Ground_soil	cover	soil	ground	soil	NA	NA	NA
Herbaceous_forb	cover	plant	herbaceous	forb	yes	yes	no
Herbaceous_graminoid	cover	plant	herbaceous	graminoid	yes	yes	no
Herbaceous_horsetail	cover	plant	herbaceous	horsetail	yes	yes	no
Herbaceous_other	cover	plant	herbaceous	herb	yes	yes	no
Lichen_crustose	cover	plant	lichen_moss	crustose	no	yes	no
Lichen_folious	cover	plant	lichen_moss	folious	no	yes	no
Lichen_fruticose1	cover	plant	lichen_moss	fruticose_1	no	yes	no
Lichen_fruticose2	cover	plant	lichen_moss	fruticose_2	no	yes	no
Litter_broadleaf	cover	plant	litter	broadleaf	no	no	no
Litter_conifer	cover	plant	litter	conifer	no	no	no
Litter_graminoid	cover	plant	herbaceous	graminoid	yes	no	no
Litter_herbaceous	cover	plant	litter	herbaceous	yes	no	no
Litter_lichen	cover	plant	lichen_moss	dead_lichen	no	no	no
Litter_twig	cover	plant	litter	twig	no	no	yes
Moss_other	cover	plant	lichen_moss	non_sphagnum	no	yes	no
Moss_sphagnum-like	cover	plant	lichen_moss	spagnum_like	no	yes	no
Shrub_prostrate	cover	plant	woody	prostrate_shrub	no	yes	no
Shrub_standing	number	plant	woody	shrub	yes	yes	yes
Tree_layering	number	plant	woody	layering_tree	yes	yes	yes
Tree_skirt	number	plant	woody	tree_with_skirt	yes	yes	yes
Tree_standing	number	plant	woody	tree	yes	yes	yes
