Urochloa	Melinis	Grasses	Sedges
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0.625	0	0	0
0	0	0	0
0	0	0.0625	0
0	0	0.0625	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0.1875	0
0	0	0.375	0
0	0.0625	0.375	0
0.0625	0	0.0625	0
0	0	0.875	0
0	0.625	0.0625	0
0	0.0625	0.0625	0
0	0	0	0
0	0.1875	0.0625	0.375
0.0625	0.0625	0	0
0	0	0.1875	0
0	0	0.0625	0
0.0625	0	0.0625	0
0	0	0.0625	0
0	0	0	0
0.0625	0.0625	0.375	0
0.1875	0	0	0
0.1875	0	0	0
0.0625	0.0625	0.1875	0
0	0.0625	0.1875	0
0	0.0625	0.875	0
0	0.1875	0.1875	0
0	0	0.1875	0
0	0	0.1875	0
0	0.0625	0.1875	0
0	0.1875	0	0
0	0.625	0	0
0	0.875	0.1875	0
0	0.0625	0.625	0
0	0.0625	0.375	0
0	0.0625	0.0625	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0.0625	0
0	0	0.0625	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0.0625	0.0625	0.0625	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0.0625	0.1875	0
0	0.0625	0.1875	0
0.375	0.0625	0.0625	0
0.0625	0.0625	0.0625	0
0.0625	0.0625	0.0625	0
0	0	0	0
0.0625	0.1875	0	0
0	0.0625	0	0
0.0625	0	0.0625	0
0.0625	0	0	0
0.0625	0.0625	0	0
0	0.0625	0	0
0	0	0.0625	0
0	0	0	0
0.375	0.0625	0	0
0.875	0.1875	0	0
0.0625	0.375	0	0
0.1875	0.0625	0	0
0	0.1875	0	0
0	0.0625	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0.0625	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0.0625	0	0
0	0	0	0
0	0	0.0625	0
0	0	0	0.1875
0	0	0.0625	0.375
0	0.0625	0.0625	0.0625
0	0.0625	0	0.1875
0	0	0	0
0	0	0	0.0625
0	0	0	0.0625
0	0.0625	0	0
0.0625	0.0625	0	0
0	0.1875	0	0
0	0.0625	0	0
0	0.1875	0	0
0	0.0625	0	0
0	0.0625	0.0625	0
