ctstation;l_;habitat;x;y;effort;richness_40;richness_sens40;richness_ns40;abundance;ab_sens;ab_notsens;Ckuhlii;Cpaca;Cthous;Dnovemcinctus;Daurita;Dleporina;Ebarbara;Esexcinctus;Lchrysomelas;Lwiedii;Llongicaudis;M.americana;Mgouazoubira;Nnasua;Ptajacu;Pcancrivorus;Pconcolor;Pyagouarondi;Sbrasiliensis;Ttetradactyla;dograte_30;f_cover;density_nat;BA_frutexo;n_cacau
1cu;HFC ;cacao;480816;8316216;123;8;5,23;3;40;14;26;4;0;15;0;2;0;4;0;1;0;0;0;2;5;0;7;0;0;0;0;0,487804878;47,55;7;3341,298875;70
2cu;HFC ;cacao;480899;8318397;123;6,06;4,44;2,97;75;9;66;57;0;5;0;3;0;3;0;1;0;0;0;0;0;0;4;0;0;0;2;7,804878049;23,26;14;992,0223096;72
3cu;HFC ;cacao;476560;8326276;111;1,87;1;1,44;92;1;91;0;0;90;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0,810810811;63,12;2;4376,28347;96
4cu;HFC ;cacao;481290;8328386;117;5,88;3;2,99;52;7;45;0;3;34;0;0;0;2;0;3;0;0;0;0;0;0;8;0;0;0;2;0,769230769;53,84;4;0;82
5cu;HFC ;cacao;478042;8321468;119;9,55;4;5;50;15;34;14;3;11;4;4;0;0;0;7;0;0;0;1;0;0;2;0;1;0;3;3,277310924;59,57;7;2630,831209;56
6cu;HFC ;cacao;473566;8323786;94;2;1;1;20;1;19;0;0;19;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,319148936;63,39;2;3430,505221;86
7cu;HFC ;cacao;473378;8321780;115;4,89;3,91;1;16;12;4;0;0;4;0;10;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1,043478261;47,53;13;0;48
8cu;HFC ;cacao;473401;8319950;112;7,42;4,02;5,36;102;39;63;40;2;14;2;32;0;0;0;1;1;0;0;2;4;0;4;0;0;0;0;0,535714286;53,75;10;357,6211571;60
9cu;HFC ;cacao;470868;8320784;109;9,56;5;5,51;50;21;29;6;0;17;1;7;0;5;0;3;1;0;0;2;4;0;4;0;0;0;0;4,403669725;32,21;8;4275,140504;50
10cu;HFC ;cacao;471346;8327427;119;9,78;5,95;5;62;41;21;0;2;11;4;4;17;16;0;0;2;0;0;0;1;2;2;1;0;0;0;0,25210084;27,04;3;476,6690546;60
11cu;HFC ;cacao;485174;8332776;119;5,68;4,17;2,98;116;33;82;33;0;47;1;2;0;3;0;27;0;0;0;0;0;0;1;0;0;1;1;0,25210084;46,11;4;0;54
12cu;HFC ;cacao;488344;8331453;109;3,87;2;2;63;15;48;9;0;39;0;0;0;2;0;13;0;0;0;0;0;0;0;0;0;0;0;0,275229358;60,42;5;1553,113512;70
13cu;HFC ;cacao;489351;8333421;107;7,92;3;5;56;21;35;9;6;4;5;13;0;6;0;0;0;0;0;0;0;0;11;0;0;0;2;0,280373832;48,55;7;5560,953289;90
14cu;HFC ;cacao;479418;8330032;119;7,63;2;5,88;26;9;17;9;1;3;1;5;0;0;0;4;0;0;0;0;0;0;3;0;0;0;0;0,25210084;33,06;15;0;46
15cu;HFC ;cacao;482228;8333244;114;8,36;3,86;5,93;50;7;43;9;1;21;6;1;0;5;0;1;2;0;0;0;0;0;4;0;0;0;0;0,263157895;21,69;7;1570,540978;80
16cu;HFC ;cacao;476761;8314421;28;6,77;3;3;22;10;12;5;6;0;1;4;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;49,15;5;538,50075;20
17cu;HFC ;cacao;481943;8317871;28;1;0;1;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22,5;28,02;0;3214,452386;110
18cu;HFC ;cacao;485123;8314172;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,89;14;2042,037497;134
19cu;HFC ;cacao;486580;8313064;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;20,7;1;2154,798775;108
20cu;HFC ;cacao;482336;8314354;28;1;0;1;10;0;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,428571429;46,64;6;0;46
1cc;LFC;cacao;479189;8369088;112;7,58;1;4,5;5;1;4;1;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1,339285714;18,04;3;0;48
2cc;LFC;cacao;477570;8369460;117;9,96;2,5;2;8;2;5;0;0;4;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;5,384615385;0,77;4;495,2901829;46
3cc;LFC;cacao;476609;8370170;121;5;2;3;18;5;13;5;0;4;0;4;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;2,479338843;0;14;1973,839604;8
