Species;Landscape;Percentage
pectaj;HFC ;2,5
pectaj;LFC;0
pumcon;HFC ;2,5
pumcon;LFC;0
nasnas;HFC ;10
nasnas;LFC;0
eirbar;HFC ;30
eirbar;LFC;10
leochr;HFC ;27,5
leochr;LFC;20
daslep;HFC ;2,5
daslep;LFC;0
didaur;HFC ;30
didaur;LFC;15
tamtet;HFC ;12,5
tamtet;LFC;7,5
mazgou;HFC ;15
mazgou;LFC;0
cunpac;HFC ;20
cunpac;LFC;5
calkuh;HFC ;30
calkuh;LFC;22,5
leowie;HFC ;10
leowie;LFC;5
dasnov;HFC ;22,5
dasnov;LFC;7,5
procan;HFC ;30
procan;LFC;27,5
certho;HFC ;40
certho;LFC;35
