Species;Landscape;Percentage
pectaj;forest-dominated landscape ;2,5
pectaj;cacao-dominated landscape;0
pumcon;forest-dominated landscape ;2,5
pumcon;cacao-dominated landscape;0
nasnas;forest-dominated landscape ;10
nasnas;cacao-dominated landscape;0
eirbar;forest-dominated landscape ;30
eirbar;cacao-dominated landscape;10
leochr;forest-dominated landscape ;27,5
leochr;cacao-dominated landscape;20
daslep;forest-dominated landscape ;2,5
daslep;cacao-dominated landscape;0
didaur;forest-dominated landscape ;30
didaur;cacao-dominated landscape;15
tamtet;forest-dominated landscape ;12,5
tamtet;cacao-dominated landscape;7,5
mazgou;forest-dominated landscape ;15
mazgou;cacao-dominated landscape;0
cunpac;forest-dominated landscape ;20
cunpac;cacao-dominated landscape;5
calkuh;forest-dominated landscape ;30
calkuh;cacao-dominated landscape;22,5
leowie;forest-dominated landscape ;10
leowie;cacao-dominated landscape;5
dasnov;forest-dominated landscape ;22,5
dasnov;cacao-dominated landscape;7,5
procan;forest-dominated landscape ;30
procan;cacao-dominated landscape;27,5
certho;forest-dominated landscape ;40
certho;cacao-dominated landscape;35
cabtat;forest-dominated landscape ;28
cabtat;cacao-dominated landscape;4
sapxan;forest-dominated landscape ;16
sapxan;cacao-dominated landscape;4
potfla;forest-dominated landscape ;12
potfla;cacao-dominated landscape;0
sciaes;forest-dominated landscape ;12
sciaes;cacao-dominated landscape;0
