Species;Landscape;Percentage
pectaj;forest-dominated ;2,5
pectaj;cacao-dominated;0
pumcon;forest-dominated ;2,5
pumcon;cacao-dominated;0
nasnas;forest-dominated ;10
nasnas;cacao-dominated;0
eirbar;forest-dominated ;30
eirbar;cacao-dominated;10
leochr;forest-dominated ;27,5
leochr;cacao-dominated;20
daslep;forest-dominated ;2,5
daslep;cacao-dominated;0
didaur;forest-dominated ;30
didaur;cacao-dominated;15
tamtet;forest-dominated ;12,5
tamtet;cacao-dominated;7,5
mazgou;forest-dominated ;15
mazgou;cacao-dominated;0
cunpac;forest-dominated ;20
cunpac;cacao-dominated;5
calkuh;forest-dominated ;30
calkuh;cacao-dominated;22,5
leowie;forest-dominated ;10
leowie;cacao-dominated;5
dasnov;forest-dominated ;22,5
dasnov;cacao-dominated;7,5
procan;forest-dominated ;30
procan;cacao-dominated;27,5
certho;forest-dominated ;40
certho;cacao-dominated;35
cabtat;forest-dominated ;0
cabtat;cacao-dominated;0
sapxan;forest-dominated ;0
sapxan;cacao-dominated;0
potfla;forest-dominated ;0
potfla;cacao-dominated;0
sciaes;forest-dominated ;0
sciaes;cacao-dominated;0
