mês	Transecto	Distancia	Peso_folhas	Peso_galhos	Peso_misc	Peso_total
janeiro	1	-150	9.8	0	30.0	39.8
janeiro	1	-100	6.8	0	0.0	6.8
janeiro	1	-80	10.4	0	0.0	10.4
janeiro	1	-60	36.3	0	0.0	36.3
janeiro	1	-40	9.3	0	0.0	9.3
janeiro	1	-20	0	0	0.0	0
janeiro	1	0	7.9	0	0.0	7.9
janeiro	1	20	40.3	0	0.0	40.3
janeiro	1	40	0	0	0.0	0
janeiro	1	60	69.9	0	0.0	69.9
janeiro	1	80	19.6	0	0.0	19.6
janeiro	1	100	0	0	0.0	0
janeiro	1	150	64.43	0	0.0	64.43
janeiro	2	-150	0	0	4.2	4.2
janeiro	2	-100	0	0	0.0	0
janeiro	2	-80	0	0	0.0	0
janeiro	2	-60	6.5	0	0.0	6.5
janeiro	2	-40	0	0	9.3	9.3
janeiro	2	-20	0	0	0.0	0
janeiro	2	0	27.9	0	0.0	27.9
janeiro	2	20	33.2	0	0.0	33.2
janeiro	2	40	74	0	0.0	74
janeiro	2	60	54.82	0	0.0	54.82
janeiro	2	80	25.1	0	0.0	25.1
janeiro	2	100	67.1	0	0.0	67.1
janeiro	2	150	47.4	0	0.0	47.4
janeiro	3	-150	0	0	0.0	0
janeiro	3	-100	0	0	0.0	0
janeiro	3	-80	0	0	0.0	0
janeiro	3	-60	0	0	0.0	0
janeiro	3	-40	0	0	0.0	0
janeiro	3	-20	10.5	0	0.0	10.5
janeiro	3	0	57.3	0	0.0	57.3
janeiro	3	20	0	0	0.0	0
janeiro	3	40	57.5	0	0.0	57.5
janeiro	3	60	80.2	0	0.0	80.2
janeiro	3	80	0	0	21.7	21.7
janeiro	3	100	51.18	0	0.0	51.18
janeiro	3	150	64.5	0	0.0	64.5
janeiro	4	-150	30.9	0	0.0	30.9
janeiro	4	-100	16.2	17.2	13.2	46.6
janeiro	4	-80	17.4	13.6	0.0	31
janeiro	4	-60	85.1	0	0.0	85.1
janeiro	4	-40	22	0	0.0	22
janeiro	4	-20	36.5	0	0.0	36.5
janeiro	4	0	12.4	0	0.0	12.4
janeiro	4	20	0	0	0.0	0
janeiro	4	40	82	0	0.0	82
janeiro	4	60	0	22.9	0.0	22.9
janeiro	4	80	0	0	0.0	0
janeiro	4	100	0	0	0.0	0
janeiro	4	150	0	0	0.0	0
janeiro	5	-150	0	0	0.0	0
janeiro	5	-100	0	0	0.0	0
janeiro	5	-80	0	0	0.0	0
janeiro	5	-60	5.2	13.2	0.0	18.4
janeiro	5	-40	23.1	0	0.0	23.1
janeiro	5	-20	11.8	0	0.0	11.8
janeiro	5	0	0	22.1	0.0	22.1
janeiro	5	20	0	0	0.0	0
janeiro	5	40	47.8	0	0.0	47.8
janeiro	5	60	48.1	0	0.0	48.1
janeiro	5	80	0	0	0.0	0
janeiro	5	100	0	0	0.0	0
janeiro	5	150	0	0	0.0	0
janeiro	6	-150	2.1	0	0.0	2.1
janeiro	6	-100	0	0	10.6	10.6
janeiro	6	-80	0	30.4	0.0	30.4
janeiro	6	-60	0	0	12.9	12.9
janeiro	6	-40	9.3	0	0.0	9.3
janeiro	6	-20	0	0	0.0	0
janeiro	6	0	0	29.7	0.0	29.7
janeiro	6	20	42.6	0	0.0	42.6
janeiro	6	40	67.9	0	0.0	67.9
janeiro	6	60	61.9	0	0.0	61.9
janeiro	6	80	62.3	0	0.0	62.3
janeiro	6	100	36.3	0	0.0	36.3
janeiro	6	150	31.8	0	0.0	31.8
janeiro	7	-150	23.2	0	0.0	23.2
janeiro	7	-100	10.4	0	0.0	10.4
janeiro	7	-80	10.7	0	0.0	10.7
janeiro	7	-60	26.1	0	0.0	26.1
janeiro	7	-40	10.1	0	0.0	10.1
janeiro	7	-20	23.3	0	0.0	23.3
janeiro	7	0	0	0	0.0	0
janeiro	7	20	12.6	0	0.0	12.6
janeiro	7	40	64.4	0	0.0	64.4
janeiro	7	60	14.3	0	0.0	14.3
janeiro	7	80	72.6	12.8	0.0	85.4
janeiro	7	100	105.1	0	0.0	105.1
janeiro	7	150	43.2	0	38.1	81.3
fevereiro	1	-150	24	49.4	17.9	91.3
fevereiro	1	-100	0	53.6	0.0	53.6
fevereiro	1	-80	0	0	0.0	0
fevereiro	1	-60	4.5	0	0.0	4.5
fevereiro	1	-40	5.8	0	0.0	5.8
fevereiro	1	-20	51.46	106.6	0.0	158.06
fevereiro	1	0	0	0	0.0	0
fevereiro	1	20	0	0	0.0	0
fevereiro	1	40	23.8	0	0.0	23.8
fevereiro	1	60	45.12	0	0.0	45.12
fevereiro	1	80	50.9	0	0.0	50.9
fevereiro	1	100	60.56	0	0.0	60.56
fevereiro	1	150	143.8	0	0.0	143.8
fevereiro	2	-150	6	0	0.0	6
fevereiro	2	-100	0	0	17.1	17.1
fevereiro	2	-80	0	0	0.0	0
fevereiro	2	-60	0	0	0.0	0
fevereiro	2	-40	0	0	11.6	11.6
fevereiro	2	-20	8.9	0	0.0	8.9
fevereiro	2	0	24.8	21.4	0.0	46.2
fevereiro	2	20	0	0	0.0	0
fevereiro	2	40	0	0	0.0	0
fevereiro	2	60	0	0	0.0	0
fevereiro	2	80	0	0	0.0	0
fevereiro	2	100	0	0	0.0	0
fevereiro	2	150	0	0	0.0	0
fevereiro	3	-150	7.1	0	0.0	7.1
fevereiro	3	-100	0	0	0.0	0
fevereiro	3	-80	0	0	0.0	0
fevereiro	3	-60	0	0	0.0	0
fevereiro	3	-40	0	0	9.4	9.4
fevereiro	3	-20	4	0	0.0	4
fevereiro	3	0	24.2	0	0.0	24.2
