Transect	Distance	Abundance_tot	Richness_mean	Richness_mean_zoo	Richness_mean_nzoo	Richness_tot	Richness_tot_zoo	Richness_tot_nzoo	Abundance_tot_zoo	Abundance_tot_nzoo	Width_all	Weight_all	Width_zoo	Weight_nzoo
1	-150	88	1.66666666666667	0.416666666666667	1.25	14	5	9	39	49	4.41022727272727	0.00840909090909091	3.34615384615385	0.00551020408163265
1	-100	2	0.0833333333333333	0	0.0833333333333333	1	0	1	0	2	1.9	0	NA	0
1	-80	20	0.25	0.0833333333333333	0.166666666666667	3	1	2	3	17	4.64	0.009	2.1	0.0105882352941176
1	-60	13	0.333333333333333	0.166666666666667	0.166666666666667	5	2	3	3	10	4.36923076923077	0.00384615384615385	3.1	0.001
1	-40	31	0.5	0.166666666666667	0.333333333333333	5	2	3	3	28	2.93225806451613	0.0106451612903226	3.33333333333333	0.00857142857142857
1	-20	91	0.5	0.333333333333333	0.166666666666667	7	4	3	57	34	2.9978021978022	0.0373626373626374	3.72631578947368	0.00147058823529412
1	0	56	1.16666666666667	0.833333333333333	0.333333333333333	11	7	4	42	14	6.7826278659612	0.322142857142857	7.50238095238095	0.0221428571428571
1	20	40	1.66666666666667	0.833333333333333	0.833333333333333	19	10	9	20	20	4.5625	0.04325	4.925	0.0215
1	40	360	2	0.833333333333333	1.16666666666667	11	7	4	72	288	3.11338095238095	0.0741333333333333	7.11690476190476	0.0146875
1	60	132	2.33333333333333	1.58333333333333	0.75	22	15	7	104	28	3.65	0.0479545454545455	3.72115384615385	0.00892857142857143
1	80	27	1	0.666666666666667	0.333333333333333	10	6	4	21	6	4.18148148148148	0.0511111111111111	4.63809523809524	0.025
1	100	117	3.16666666666667	2.66666666666667	0.5	22	17	5	99	18	4.62222222222222	0.0637094017094017	4.4040404040404	0.0551111111111111
1	150	19	1.16666666666667	0.666666666666667	0.5	13	7	6	8	11	2.54210526315789	0.0202631578947368	3.675	0.00681818181818182
2	-150	97	1.08333333333333	0.333333333333333	0.75	8	3	5	49	48	4.87216494845361	0.0130927835051546	3.62244897959184	0.00708333333333333
2	-100	1	0.0833333333333333	0	0.0833333333333333	1	0	1	0	1	4.3	0.01	NA	0.01
2	-80	8	0.416666666666667	0.166666666666667	0.25	5	2	3	2	6	2.5	0.032625	2.65	0.0085
2	-60	5	0.333333333333333	0.166666666666667	0.166666666666667	4	2	2	2	3	4.14	0	1.55	0
2	-40	6	0.416666666666667	0.166666666666667	0.25	4	2	2	3	3	2.76666666666667	0.0116666666666667	4.66666666666667	0
2	-20	55	0.833333333333333	0.5	0.333333333333333	7	3	4	36	19	4.32727272727273	0.0232909090909091	4.88611111111111	0.0115789473684211
2	0	38	1.58333333333333	1.16666666666667	0.416666666666667	17	12	5	31	7	3.69736842105263	0.164736842105263	3.60645161290323	0.0271428571428571
2	20	77	1.66666666666667	0.916666666666667	0.75	19	11	8	51	26	5.47142857142857	0.0823376623376623	6.02941176470588	0.0303846153846154
2	40	449	1.5	0.416666666666667	1.08333333333333	14	5	9	14	435	3.57326638359752	0.0269406950846843	4.3	0.027347981823042
2	60	106	3	1.91666666666667	1.08333333333333	25	17	8	63	43	4.48301886792453	0.0547358490566038	4.64285714285714	0.0496744186046512
2	80	28	1	0.583333333333333	0.416666666666667	9	5	4	16	12	4.83928571428571	0.0510714285714286	6.98125	0.005
2	100	76	2.08333333333333	1.16666666666667	0.916666666666667	19	11	8	43	33	4.23289473684211	0.0630263157894737	5.13255813953488	0.0293939393939394
2	150	91	1.91666666666667	1.5	0.333333333333333	16	12	4	76	15	5.25604395604396	0.0316483516483516	5.72236842105263	0.00733333333333333
3	-150	3	0.25	0.166666666666667	0.0833333333333333	3	2	1	2	1	3.63333333333333	0.0333333333333333	4.65	0
3	-100	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA
3	-80	1	0.0833333333333333	0.0833333333333333	0	1	1	0	1	0	1.8	0	1.8	NA
3	-60	5	0.0833333333333333	0	0.0833333333333333	2	0	2	0	5	5.74	0.054	NA	0.054
3	-40	2	0.166666666666667	0.0833333333333333	0.0833333333333333	2	1	1	1	1	3.95	0.005	4.3	0.01
3	-20	7	0.0833333333333333	0	0.0833333333333333	1	0	1	0	7	1.72857142857143	0	NA	0
3	0	32	1.5	0.75	0.75	16	9	7	16	16	4.28125	0.0615625	3.475	0.08375
3	20	223	2.5	1.25	1.25	19	12	7	63	160	4.77391933342101	0.236251121076233	4.63333333333333	0.3180875
3	40	231	4	2.5	1.5	28	19	9	179	52	3.48403559403559	0.0935670995670996	3.2726939788951	0.0324423076923077
3	60	163	3.33333333333333	2.25	1.08333333333333	24	16	8	135	28	4.23315832940066	0.0335521472392638	4.21262820512821	0.0272142857142857
3	80	85	2.66666666666667	1.75	0.916666666666667	24	17	7	59	26	4.8291742081448	0.180141176470588	5.17931877444589	0.0903846153846154
3	100	135	2.41666666666667	1.83333333333333	0.583333333333333	17	13	4	89	46	4.7991746031746	0.294180740740741	5.58651685393258	0.0155304347826087
3	150	152	3.33333333333333	2.33333333333333	1	30	19	11	114	38	3.91513157894737	0.0672697368421053	4.55087719298246	0.0165789473684211
4	-150	111	3.08333333333333	1.41666666666667	1.66666666666667	22	11	11	40	71	2.30540540540541	0.0174324324324324	3.09	0.00328169014084507
4	-100	438	5.33333333333333	2.58333333333333	2.75	33	20	13	135	303	3.88812785388128	0.0136004566210046	3.85037037037037	0.00725742574257426
4	-80	126	2.08333333333333	1.25	0.833333333333333	13	8	5	71	55	2.83253968253968	0.0205238095238095	2.82535211267606	0.0159636363636364
4	-60	289	3.75	1.91666666666667	1.83333333333333	23	15	8	111	178	2.32595155709343	0.00846712802768166	3.06936936936937	0.00324157303370787
4	-40	19	0.416666666666667	0.166666666666667	0.25	4	2	2	2	17	1.33684210526316	0.00315789473684211	2.95	0
4	-20	429	3.41666666666667	2.5	0.916666666666667	25	18	7	298	131	3.02642061642062	0.018571451783248	3.31957867263236	0.00702290076335878
4	0	97	2.16666666666667	1.08333333333333	1.08333333333333	21	11	10	29	68	2.35144329896907	0.0203092783505155	3.73448275862069	0.0172058823529412
4	20	160	3.25	1.83333333333333	1.41666666666667	21	12	9	84	76	2.65875	0.0308625	3.35357142857143	0.00569736842105263
4	40	227	3.66666666666667	1.83333333333333	1.83333333333333	24	13	11	74	153	3.29823788546256	0.0314669603524229	4.16216216216216	0.032156862745098
4	60	209	2.33333333333333	1.41666666666667	0.916666666666667	21	14	7	79	130	2.711004784689	0.0114210526315789	3.11898734177215	0.00801538461538462
4	80	235	2.16666666666667	1.25	0.916666666666667	22	12	10	43	192	4.79948936170213	0.0144851063829787	5.17906976744186	0.013125
