Article_number	Study	Autor 	Title	Journal	Year_publication	Country	ClimaticZone	Continent	Year_sampling	Sampling_method	NativeHabitat	DisturbedHabitat	FunctionalGroup	Response
1	1	"Assis, Diego Santana; Dos Santos, Iracenir Andrade; Ramos, Flavio Nunes; Barrios-Rojas, Katty Elena; Majer, Jonathan David; Vilela, Evaldo Ferreira"	Agricultural matrices affect ground ant assemblage composition inside forest fragments	PLOS ONE	2018	Brazil	Tropical	South America	2011	Pitfall traps	Tropical and subtropical rainforest	Monoculture	Arboreal	0
1	1	"Assis, Diego Santana; Dos Santos, Iracenir Andrade; Ramos, Flavio Nunes; Barrios-Rojas, Katty Elena; Majer, Jonathan David; Vilela, Evaldo Ferreira"	Agricultural matrices affect ground ant assemblage composition inside forest fragments	PLOS ONE	2018	Brazil	Tropical	South America	2011	Pitfall traps	Tropical and subtropical rainforest	Monoculture	Army ants 	0
1	1	"Assis, Diego Santana; Dos Santos, Iracenir Andrade; Ramos, Flavio Nunes; Barrios-Rojas, Katty Elena; Majer, Jonathan David; Vilela, Evaldo Ferreira"	Agricultural matrices affect ground ant assemblage composition inside forest fragments	PLOS ONE	2018	Brazil	Tropical	South America	2011	Pitfall traps	Tropical and subtropical rainforest	Monoculture	Fungus-growing	-1
1	1	"Assis, Diego Santana; Dos Santos, Iracenir Andrade; Ramos, Flavio Nunes; Barrios-Rojas, Katty Elena; Majer, Jonathan David; Vilela, Evaldo Ferreira"	Agricultural matrices affect ground ant assemblage composition inside forest fragments	PLOS ONE	2018	Brazil	Tropical	South America	2011	Pitfall traps	Tropical and subtropical rainforest	Monoculture	Generalists	1
1	1	"Assis, Diego Santana; Dos Santos, Iracenir Andrade; Ramos, Flavio Nunes; Barrios-Rojas, Katty Elena; Majer, Jonathan David; Vilela, Evaldo Ferreira"	Agricultural matrices affect ground ant assemblage composition inside forest fragments	PLOS ONE	2018	Brazil	Tropical	South America	2011	Pitfall traps	Tropical and subtropical rainforest	Monoculture	Predators	0
1	2	"Assis, Diego Santana; Dos Santos, Iracenir Andrade; Ramos, Flavio Nunes; Barrios-Rojas, Katty Elena; Majer, Jonathan David; Vilela, Evaldo Ferreira"	Agricultural matrices affect ground ant assemblage composition inside forest fragments	PLOS ONE	2018	Brazil	Tropical	South America	2011	Pitfall traps	Tropical and subtropical rainforest	Monoculture	Arboreal	0
1	2	"Assis, Diego Santana; Dos Santos, Iracenir Andrade; Ramos, Flavio Nunes; Barrios-Rojas, Katty Elena; Majer, Jonathan David; Vilela, Evaldo Ferreira"	Agricultural matrices affect ground ant assemblage composition inside forest fragments	PLOS ONE	2018	Brazil	Tropical	South America	2011	Pitfall traps	Tropical and subtropical rainforest	Monoculture	Army ants 	1
1	2	"Assis, Diego Santana; Dos Santos, Iracenir Andrade; Ramos, Flavio Nunes; Barrios-Rojas, Katty Elena; Majer, Jonathan David; Vilela, Evaldo Ferreira"	Agricultural matrices affect ground ant assemblage composition inside forest fragments	PLOS ONE	2018	Brazil	Tropical	South America	2011	Pitfall traps	Tropical and subtropical rainforest	Monoculture	Fungus-growing	-1
1	2	"Assis, Diego Santana; Dos Santos, Iracenir Andrade; Ramos, Flavio Nunes; Barrios-Rojas, Katty Elena; Majer, Jonathan David; Vilela, Evaldo Ferreira"	Agricultural matrices affect ground ant assemblage composition inside forest fragments	PLOS ONE	2018	Brazil	Tropical	South America	2011	Pitfall traps	Tropical and subtropical rainforest	Monoculture	Generalists	1
1	2	"Assis, Diego Santana; Dos Santos, Iracenir Andrade; Ramos, Flavio Nunes; Barrios-Rojas, Katty Elena; Majer, Jonathan David; Vilela, Evaldo Ferreira"	Agricultural matrices affect ground ant assemblage composition inside forest fragments	PLOS ONE	2018	Brazil	Tropical	South America	2011	Pitfall traps	Tropical and subtropical rainforest	Monoculture	Predators	-1
